Task Type,TCT,DT,FB,PRS,Competence
Frontend development ,12,3,0,4.2,0.812
Marketing campaign,8,2,1,3.8,0.105
Quality assurance check,6,1,2,3.2,0.647
Human resources onboarding,4,4,0,3.6,0.903
Data analysis,20,5,3,4,0.319
Client communication,4,2,0,4.4,0.584
User interface design,3,3,1,3.9,0.726
Marketing campaign,10,4,2,4.3,0.153
Quality assurance check,6,2,0,3.7,0.418
Data analysis,16,5,1,4.6,0.89
Human resources onboarding,8,3,0,3.8,0.672
Frontend development,5,2,1,4.2,0.287
User interface design,2,1,0,3.5,0.541
Client communication,3,4,2,4.4,0.963
Quality assurance check,5,3,0,3.9,0.074
Frontend development,7,1,1,4.5,0.635
Data analysis,4,2,0,3.6,0.42
Human resources onboarding,18,5,3,4.3,0.819
Marketing campaign,6,3,1,3.8,0.503
User interface design,12,4,0,4.4,0.178
Client communication,3,2,0,4.2,0.932
User interface design,2,1,0,3.5,0.671
Data analysis,5,4,1,3.9,0.249
Human resources onboarding,4,3,0,4.3,0.576
Quality assurance check,8,4,1,4,0.388
Frontend development,15,5,0,4.8,0.731
Marketing campaign,14,5,2,4.2,0.952
Client communication,10,4,1,3.6,0.11
Quality assurance check,6,2,0,4.5,0.697
Marketing campaign,8,3,1,3.7,0.844
Human resources onboarding,18,5,2,4.3,0.036
User interface design,8,3,1,3.8,0.468
Frontend development,4,2,0,4.6,0.215
Client communication,6,3,1,4.2,0.794
Data analysis,5,4,0,3.5,0.651
Data analysis,3,2,0,3.9,0.279
Quality assurance check,12,4,2,4.4,0.831
Frontend development,6,3,0,3.8,0.564
Marketing campaign,8,5,1,4.5,0.932
Human resources onboarding,5,3,0,4.3,0.148
User interface design,7,3,1,3.6,0.713
Client communication,4,2,0,3.9,0.857
User interface design,10,5,1,4.4,0.402
Data analysis,6,4,2,3.7,0.98
Human resources onboarding,12,5,0,4.5,0.624
Quality assurance check,8,4,1,4.2,0.373
Frontend development,5,3,0,3.5,0.58
Marketing campaign,8,3,1,4,0.025
Client communication,6,2,0,4.7,0.95
Quality assurance check,5,3,0,4.3,0.162
Frontend development,4,2,1,3.6,0.719
Data analysis,6,2,0,4.9,0.387
Human resources onboarding,10,4,2,3.8,0.549
Marketing campaign,15,5,1,4.4,0.802
User interface design,8,3,0,3.6,0.099
Client communication,5,2,0,4.5,0.447
Human resources onboarding,4,3,1,3.9,0.681
Data analysis,3,2,0,4.3,0.908
Quality assurance check,3,2,0,3.6,0.313
Frontend development,12,4,0,4.7,0.756
User interface design,10,5,2,4.2,0.54
Client communication,6,3,1,3.7,0.201
Marketing campaign,8,4,0,4.6,0.874
Data analysis,5,3,1,4.2,0.641
Quality assurance check,4,2,0,3.6,0.428
Client communication,3,2,1,3.9,0.287
Frontend development,15,5,2,4.4,0.607
User interface design,8,4,1,3.8,0.185
Human resources onboarding,12,5,0,4.5,0.731
Marketing campaign,6,3,1,3.7,0.952
Quality assurance check,4,2,0,4.3,0.109
Data analysis,3,2,0,3.8,0.678
Marketing campaign,5,4,0,4.6,0.923
Frontend development,2,1,0,4.2,0.364
Client communication,3,2,1,3.6,0.502
User interface design,4,3,1,3.9,0.798
Human resources onboarding,8,4,0,4.4,0.554
Data analysis,5,5,2,3.8,0.24
Quality assurance check,10,5,1,4.5,0.816
Frontend development,8,4,2,3.7,0.433
Marketing campaign,6,5,1,4.3,0.669
Human resources onboarding,4,3,0,3.8,0.093
User interface design,12,5,2,4.6,0.718
Client communication,7,4,0,4.2,0.801
User interface design,10,5,3,3.6,0.172
Data analysis,8,4,2,3.9,0.613
Human resources onboarding,15,5,1,4.4,0.964
Quality assurance check,6,3,0,3.8,0.345
Frontend development,10,4,1,4.5,0.525